"quelle_georef","QID_quelle_georef","katalognr","fst_id","fst_name","gemeinde","kreis","bundesland","land","kultur","entdeckung","QID_entdeckung","publikation_arch","QID_publikation","fundstellenart","QID_fundstellenart","genauigkeit_m","FID","methode","quellen_typ","methodenbeschr","wgs84_x","wgs84_y","dating_start","dating_certainty_start","dating_end","dating_certainty_end","dating_method","dating_certainty_range","dating_perio.do","dating_perio.do_match","sherd"
"LfDA Sachsen-Anhalt","Q1802049","55","444","Tüngeda","Behringen","Wartburgkreis","Thüringen","Deutschland","SBK","Lesefunde","Q1144458","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","1","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","10.58","51.03","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","34","149","Goldbach","Nessetal","Gotha","Thüringen","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","2","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","10.66","50.98","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","75","388","Schlotheim","Nottertal-Heilinger Höhen","Unstrut-Hainich-Kreis","Thüringen","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","3","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","10.66","51.24","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","463","179","Halberstadt 2","Halberstadt","Landkreis Harz","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","4","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.06","51.87","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","139","40","Bilzingsleben 9","Knidelbrück","Sömmerda","Thüringen","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","5","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.06","51.29","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"W. Schier persönl. Kommunikation","Q15445052","","360","Quedlinburg KGA 2","Quedlinburg","Landkreis Harz","Sachsen-Anhalt","Deutschland","SBK","Ausgrabung","Q959782","","","Kreisgrabenanlage","Q1787688","0","6","Übernahme aus externer Datenbank","Expertenwissen","Koordinaten von Kollegen erhalten","11.11","51.81","-4735","+/- 10 years","-4550","+/- 10 years","Q173412","high certainty due to excessive radiocarbon dating and Bayesian modelling","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","380","358","Quedlinburg 24","Quedlinburg","Landkreis Harz","Sachsen-Anhalt","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","7","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.17","51.81","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"W. Schier persönl. Kommunikation","Q15445052","","359","Quedlinburg KGA 1","Quedlinburg","Landkreis Harz","Sachsen-Anhalt","Deutschland","SBK","Ausgrabung","Q959782","Schier et al. 2023","Q139555255","Kreisgrabenanlage","Q1787688","0","8","Übernahme aus externer Datenbank","Expertenwissen","Koordinaten von Kollegen erhalten","11.18","51.81","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","161","138","Gatersleben 24","Seeland","Salzlandkreis","Sachsen-Anhalt","Deutschland","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","0","9","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.29","51.82","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","96","278","Mellingen","Mellingen","Weimarer Land","Thüringen","Deutschland","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","10","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.41","50.93","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
