name,lon,lat,pop_max,country
Berlin,13.399603,52.523764,3406000,Germany
Katowice,19.020017,50.26038,2746000,Poland
Hamburg,9.998053,53.551971,1757000,Germany
Warsaw,21.005347,52.230872,1707000,Poland
Prague,14.422939,50.086967,1162000,Czechia
Łódź,19.458229,51.767797,758000,Poland
Kraków,19.958066,50.061925,756000,Poland
Gdańsk,18.64004,54.359975,740000,Poland
Wrocław,17.030009,51.110432,634893,Poland
Poznań,16.89994,52.405753,623997,Poland
Dresden,13.750003,51.049971,617515,Germany
Leipzig,12.409981,51.335405,542529,Germany
Gliwice,18.670013,50.330376,507670,Poland
Ostrava,18.249986,49.830355,478963,Czechia
Kaliningrad,20.497343,54.700006,434954,Russia
Szczecin,14.530007,53.420394,407811,Poland
Bydgoszcz,18.010001,53.120413,366452,Poland
Chemnitz,12.919976,50.829984,302643,Germany
Kiel,10.130017,54.33039,269427,Germany
Braunschweig,10.50002,52.249975,244715,Germany
Lübeck,10.669984,53.870393,235390,Germany
Magdeburg,11.620004,52.130421,229826,Germany
Potsdam,13.069993,52.400405,218095,Germany
