wgs84_x,wgs84_y,country
10.58,51.03,DE
10.66,50.98,DE
10.66,51.24,DE
11.06,51.87,DE
11.06,51.29,DE
11.11,51.81,DE
11.17,51.81,DE
11.18,51.81,DE
11.29,51.82,DE
11.41,50.93,DE
11.42,51.02,DE
11.5,51.27,DE
11.54,51.88,DE
11.56,51.5,DE
11.56,52.24,DE
11.63,52.21,DE
11.68,52.11,DE
11.71,51.79,DE
11.71,51.16,DE
11.77,51.89,DE
11.79,52.11,DE
11.92,51.13,DE
11.93,51.61,DE
11.97,51.4,DE
12.01,51.1,DE
12.03,51.75,DE
12.07,51.36,DE
12.11,51.05,DE
12.11,51.63,DE
12.14,50.9,DE
12.3,51.24,DE
12.3,52.59,DE
12.54,52.75,DE
12.54,52.75,DE
12.9,51.67,DE
13.03,51.97,DE
13.05,51.99,DE
13.07,51.96,DE
13.07,51.96,DE
13.08,51.96,DE
13.09,51.96,DE
13.09,51.97,DE
13.09,51.96,DE
13.09,51.96,DE
13.09,51.96,DE
13.14,52.26,DE
13.46,52.33,DE
13.47,52.35,DE
13.56,52.25,DE
13.66,51.85,DE
13.8,51.91,DE
13.88,52.1,DE
13.88,52.1,DE
13.88,52.1,DE
13.91,52.1,DE
13.91,52.1,DE
13.93,51.91,DE
13.93,51.91,DE
13.96,53.19,DE
13.97,53.18,DE
13.97,53.05,DE
14.01,53,DE
14.02,53,DE
14.02,53.22,DE
14.08,53.12,DE
14.17,53.03,DE
14.17,53.03,DE
14.19,53.06,DE
14.19,53.06,DE
14.2,52.21,DE
14.2,52.09,DE
14.32,52.86,PL
14.33,52.61,DE
14.38,52.55,DE
14.39,53.21,DE
14.42,51.8,DE
14.46,52.44,DE
14.49,52.38,DE
14.49,53.41,PL
14.52,51.8,DE
14.53,51.38,DE
14.53,51.37,DE
14.53,51.37,DE
14.54,51.81,DE
14.54,51.81,DE
14.54,51.81,DE
14.73,51.96,PL
14.74,51.86,PL
14.73,53.14,PL
14.75,51.8,PL
14.77,51.85,PL
14.78,51.84,PL
14.79,51.88,PL
14.82,51.86,PL
14.85,53.13,PL
14.9,53.15,PL
15.08,53.2,PL
15.12,53.15,PL
15.14,52.83,PL
15.53,52.44,PL
15.54,52.1,PL
15.57,52.78,PL
15.57,52.08,PL
15.62,52.73,PL
15.79,52.1,PL
15.82,51.73,PL
15.93,51.67,PL
15.98,51.67,PL
16.02,51.68,PL
16.09,51.66,PL
16.11,51.65,PL
16.13,51.65,PL
16.14,51.65,PL
16.16,51.08,PL
16.19,51.66,PL
16.16,51.63,PL
16.28,51.71,PL
16.31,51.09,PL
16.43,51.41,PL
16.45,51.54,PL
16.52,51.66,PL
16.52,51.7,PL
16.54,51.67,PL
16.68,51.26,PL
16.72,52.07,PL
16.72,52.07,PL
16.78,50.61,PL
16.8,50.9,PL
16.83,50.99,PL
16.84,50.86,PL
16.86,50.96,PL
16.87,50.86,PL
16.87,50.86,PL
16.89,51.15,PL
16.95,51.13,PL
16.97,51.11,PL
17.09,51.07,PL
17.12,50.45,PL
17.19,50.97,PL
17.2,51,PL
17.27,50.81,PL
17.43,53.04,PL
17.84,50.12,PL
17.84,50.3,PL
17.89,52.32,PL
18.17,50.08,PL
18.24,53.43,PL
18.61,53.19,PL
18.63,53.77,PL
18.65,53.91,PL
18.65,53.91,PL
18.7,53.2,PL
18.72,52.67,PL
18.72,52.6,PL
18.73,52.6,PL
18.73,52.6,PL
18.74,52.59,PL
18.77,52.64,PL
18.78,52.6,PL
18.78,52.59,PL
18.78,52.63,PL
18.78,52.64,PL
18.79,52.64,PL
18.79,52.61,PL
18.79,52.64,PL
18.8,52.63,PL
18.8,52.63,PL
18.8,52.62,PL
18.81,52.63,PL
18.81,52.62,PL
18.81,52.63,PL
18.81,52.62,PL
18.82,52.63,PL
18.82,52.62,PL
18.82,52.63,PL
18.82,52.62,PL
18.86,52.62,PL
18.86,52.62,PL
18.88,52.64,PL
18.88,52.61,PL
18.88,52.65,PL
18.89,52.65,PL
18.9,52.62,PL
18.91,52.61,PL
18.92,52.61,PL
18.92,52.61,PL
18.92,52.61,PL
18.92,52.61,PL
18.92,52.61,PL
18.92,52.59,PL
18.92,52.6,PL
18.93,52.6,PL
18.95,52.63,PL
18.95,52.63,PL
18.97,52.62,PL
18.98,52.61,PL
18.98,52.6,PL
18.98,52.6,PL
